"Omschrijving";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"C105019 / 005901";1;8;1173,00;6;2657,00;1001,85;42,00;1214,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2258,49;398,51;15,00;1001,85
"V105020 / 130928";1;18;7795,00;18;7015,50;6236,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6236,00;779,50;11,11;0,00
"C105021 / 012903";1;15;1856,00;10;3660,00;1484,80;0,00;1277,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2762,56;897,44;24,52;1484,80
"C105023 / 055906";1;12;2360,00;9;4189,75;1888,00;0,00;1454,40;0,00;0,00;0,00;0,00;18,53;0,00;0,00;3360,93;828,82;19,78;0,00
"C105024 / 039905";1;28;9410,00;22;10030,00;7998,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7998,50;2031,50;20,25;7998,50
"C105026 / 039906";1;10;3250,00;8;4862,50;2762,50;0,00;1359,24;51,56;0,00;0,00;0,00;0,00;0,00;0,00;4173,30;689,20;14,17;2762,50
"C105027 / 055907";1;9;2280,00;5;3360,00;1938,00;0,00;717,20;157,79;0,00;0,00;0,00;0,00;0,00;0,00;2812,99;547,01;16,28;1938,00
"B105028 / 055908";1;12;2550,00;10;4620,00;2167,50;0,00;1858,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4025,50;594,50;12,87;2167,50
"C105029 / 012904";1;15;1285,00;11;2715,00;1028,00;0,00;863,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1891,85;823,15;30,32;0,00
"C105031 / 052901";1;4;1579,20;3;2765,00;1579,20;0,00;714,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2293,20;471,80;17,06;0,00
"C105032 / 048910";1;20;2820,00;18;7232,50;2312,40;0,00;3023,00;756,00;0,00;0,00;0,00;0,00;0,00;0,00;6091,40;1141,10;15,78;0,00
"C105033 / 012905";1;15;3959,00;15;6610,00;3266,17;0,00;2148,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5414,17;1195,83;18,09;3266,17
"C105034 / 012906";1;17;5317,00;16;8170,00;4386,52;0,00;2291,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6677,72;1492,28;18,27;4386,52
"C105035 / 030903";1;8;1640,00;8;2030,00;1476,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1476,00;554,00;27,29;0,00
"C105037 / 138907";1;12;2695,00;10;2970,00;2156,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2156,00;814,00;27,41;0,00
"C105039 / 057901";1;16;3780,00;15;4560,00;3582,00;189,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3771,00;789,00;17,30;3582,00
"C105040 / 039907";1;8;2030,00;8;3985,00;1776,25;0,00;1274,40;335,69;0,00;0,00;0,00;0,00;0,00;0,00;3386,34;598,66;15,02;1776,25
"C105041 / 035904";1;6;945,00;4;1184,50;960,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;960,00;224,50;18,95;0,00
"C105042 / 035905";1;14;3640,00;11;4385,00;3581,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3581,00;804,00;18,34;3581,00
"C105044 / 062901";1;6;1251,00;4;2927,50;1000,80;0,00;1311,33;170,00;0,00;0,00;0,00;0,00;0,00;0,00;2482,13;445,37;15,21;1000,80
"C105045 / 062902";1;6;1251,00;4;2825,00;1000,80;0,00;1258,22;131,00;0,00;0,00;0,00;0,00;0,00;0,00;2390,02;434,98;15,40;1000,80
"C105046 / 062903";1;6;1251,00;4;2835,00;1000,80;0,00;1258,22;143,34;0,00;0,00;0,00;0,00;0,00;0,00;2402,36;432,64;15,26;1000,80
"C105047 / 062904";1;6;990,00;5;2010,00;792,00;0,00;816,06;115,00;0,00;0,00;0,00;0,00;0,00;0,00;1723,06;286,94;14,28;792,00
"C105048 / 055909";1;14;2550,00;10;5970,00;2167,50;0,00;1793,40;586,37;0,00;0,00;0,00;0,00;0,00;0,00;4547,27;1422,73;23,83;2167,50
"T105049 / 049911";1;8;2103,00;8;1910,00;1682,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1682,40;227,60;11,92;0,00
"C105050 / 137903";1;6;1695,00;2;2700,00;1356,00;0,00;831,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2187,00;513,00;19,00;0,00
"T105051 / 012907";1;9;1456,00;8;1319,50;1164,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1164,80;154,70;11,72;1164,80
"T105052 / 012908";1;9;1290,00;5;1171,00;1032,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1032,00;139,00;11,87;1032,00
"C105054 / 039908";1;12;3050,00;9;5172,50;2668,75;0,00;1821,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4490,71;681,79;13,18;2668,75
"C105055 / 039909";1;12;5790,00;12;8547,50;5066,25;0,00;2488,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7554,90;992,60;11,61;0,00
"C105056 / 048911";1;10;3710,00;10;3730,00;3042,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3042,20;687,80;18,44;0,00
"W105057 / 014906";1;14;3090,00;11;4997,50;2472,00;0,00;1579,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4051,20;946,30;18,94;0,00
