"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"Z11125201";02-06-2012;1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;560,70
"Z11125202";02-06-2012;1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;560,70
"Z11125203";30-06-2012;1;12;900,00;8;920,00;693,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;693,00;227,00;24,67;693,00
"Z11125236";04-06-2012;1;2;356,00;2;376,00;320,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;320,40;55,60;14,79;320,40
"Z11125238";11-05-2012;1;10;1200,00;5;1220,00;1020,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1020,00;200,00;16,39;1020,00
"V11125240";04-08-2012;1;8;950,00;6;950,00;807,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;807,50;142,50;15,00;807,50
"V11125242";11-07-2012;1;8;1390,00;6;1305,00;973,00;245,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1218,00;87,00;6,67;1218,00
"Z11125244";13-05-2012;1;10;400,00;10;420,00;308,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;308,00;112,00;26,67;308,00
"Z11125247";14-07-2012;1;6;990,00;5;1056,03;792,00;0,00;0,00;0,00;0,00;0,00;0,00;30,66;0,00;0,00;822,66;233,37;22,10;792,00
"Z11125254";11-08-2012;1;6;350,00;4;462,00;280,00;92,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;372,00;90,00;19,48;372,00
"Z11125255";07-07-2012;1;8;2818,00;8;2549,00;2254,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2254,40;294,60;11,56;2254,40
"Z11125265";07-07-2012;1;5;855,00;4;945,00;684,00;70,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;754,00;191,00;20,21;754,00
"Z12015005";01-09-2012;1;4;294,00;2;265,00;211,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;211,68;53,32;20,12;211,68
"V12015014";14-07-2012;1;10;1990,00;10;1492,50;1393,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1393,00;99,50;6,67;1393,00
"Z12015018";07-07-2012;1;8;1800,00;4;1640,00;1404,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1404,00;236,00;14,39;1404,00
"Z12015034";14-07-2012;1;4;1500,00;4;1370,00;1200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1200,00;170,00;12,41;1200,00
"Z12015035";28-04-2012;1;10;400,00;6;434,35;308,00;0,00;0,00;0,00;0,00;0,00;0,00;8,15;0,00;0,00;316,15;118,20;27,21;308,00
