"Omschrijving";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"Z11125185";1;3;297,00;3;300,00;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;32,70;10,90;0,00
"Z11125186";1;3;297,00;3;300,00;267,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;267,30;32,70;10,90;0,00
"Z11125187";1;2;356,00;2;359,00;320,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;320,40;38,60;10,75;0,00
"Z11125188";1;2;356,00;2;359,00;320,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;320,40;38,60;10,75;0,00
"Z11125189";1;2;445,00;2;448,00;400,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;400,50;47,50;10,60;0,00
"Z11125190";1;2;356,00;2;359,00;320,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;320,40;38,60;10,75;0,00
"V11125198";1;8;1700,00;4;1275,00;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;85,00;6,67;0,00
"Z11125199";1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;0,00
"Z11125200";1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;0,00
"Z11125201";1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;0,00
"Z11125202";1;2;623,00;2;630,00;560,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;560,70;69,30;11,00;0,00
"Z11125203";1;12;900,00;8;920,00;693,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;693,00;227,00;24,67;0,00
"Z11125236";1;2;356,00;2;376,00;320,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;320,40;55,60;14,79;0,00
"Z11125238";1;10;1200,00;5;1220,00;1020,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1020,00;200,00;16,39;0,00
"V11125240";1;8;950,00;6;950,00;807,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;807,50;142,50;15,00;0,00
"V11125242";1;8;1390,00;6;1042,50;973,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;973,00;69,50;6,67;0,00
"Z11125244";1;10;400,00;10;420,00;308,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;308,00;112,00;26,67;0,00
"Z11125247";1;6;990,00;5;1056,03;792,00;0,00;0,00;0,00;0,00;0,00;0,00;29,47;0,00;0,00;821,47;234,56;22,21;0,00
"Z11125254";1;6;350,00;4;462,00;372,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;372,00;90,00;19,48;0,00
"Z11125255";1;8;2818,00;8;2549,00;2254,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2254,40;294,60;11,56;0,00
"Z11125265";1;5;855,00;4;875,00;684,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;684,00;191,00;21,83;0,00
"Z12015005";1;4;294,00;2;265,00;199,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;199,92;65,08;24,56;0,00
"V12015014";1;10;1990,00;10;1492,50;1393,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1393,00;99,50;6,67;0,00
"Z12015018";1;8;1800,00;4;1640,00;1404,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1404,00;236,00;14,39;0,00
"Z12015034";1;4;1500,00;4;1370,00;1200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1200,00;170,00;12,41;0,00
"Z12015035";1;10;400,00;6;434,35;308,00;0,00;0,00;0,00;0,00;0,00;0,00;8,15;0,00;0,00;316,15;118,20;27,21;0,00
"Z12015064";1;4;1104,00;4;1195,80;883,20;0,00;0,00;0,00;0,00;0,00;0,00;46,33;0,00;0,00;929,53;266,27;22,27;0,00
"Z12015071";1;5;1005,00;4;1299,46;1005,00;0,00;0,00;0,00;0,00;0,00;0,00;16,27;0,00;0,00;1021,27;278,19;21,41;0,00
"Z12015077";1;6;1288,00;5;1305,00;1094,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1094,80;210,20;16,11;0,00
"Z12015078";1;9;1400,00;9;1530,00;1106,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1106,00;424,00;27,71;0,00
"Z12015079";1;10;700,00;7;720,00;539,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;539,00;181,00;25,14;0,00
"Z12015086";1;2;350,00;2;508,55;297,50;0,00;0,00;0,00;0,00;0,00;0,00;19,36;0,00;0,00;316,86;191,69;37,69;0,00
"Z12015087";1;10;400,00;10;380,00;308,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;308,00;72,00;18,95;0,00
"Z12015090";1;6;3764,00;6;3780,00;3199,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3199,40;580,60;15,36;0,00
"Z12015103";1;6;1176,00;4;1077,50;940,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;940,80;136,70;12,69;0,00
"Z12015119";1;10;1098,00;10;1390,00;1098,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1098,00;292,00;21,01;219,60
"I12015134";1;5;855,00;5;775,00;684,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;684,00;91,00;11,74;0,00
"Z12015141";1;6;1110,00;5;1220,00;966,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;966,00;254,00;20,82;0,00
"Z12015145";1;8;1793,00;8;1810,00;1434,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1434,40;375,60;20,75;0,00
"V12015147";1;8;850,00;6;637,50;595,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;595,00;42,50;6,67;0,00
"V12015148";1;10;1990,00;6;1492,50;1393,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1393,00;99,50;6,67;0,00
"Z12015152";1;6;1800,00;4;1820,00;1440,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1440,00;380,00;20,88;0,00
"Z12015154";1;4;539,00;2;625,79;431,20;0,00;0,00;0,00;0,00;0,00;0,00;45,10;0,00;0,00;476,30;149,49;23,89;0,00
"Z12015155";1;9;3856,00;5;3485,00;3084,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3084,80;400,20;11,48;0,00
"V12015158";1;8;1700,00;7;1275,00;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;85,00;6,67;0,00
"Z12015159";1;4;399,00;3;490,00;379,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;379,05;110,95;22,64;0,00
"Z12015160";1;8;1480,00;8;1728,55;1288,00;0,00;0,00;0,00;0,00;0,00;0,00;67,24;0,00;0,00;1355,24;373,31;21,60;0,00
"Z12015161";1;4;616,00;3;790,00;616,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;616,00;174,00;22,03;0,00
"V12015165";1;12;1700,00;8;1275,00;1190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;85,00;6,67;0,00
"Z12015169";1;7;2508,00;4;2378,00;1881,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1881,00;497,00;20,90;0,00
