"Omschrijving";"Aankomst";"St.";"Cap.";"Bruto acc.";"Aant.";"Omzet";"Inkoop acc.";"Bijk.k.";"Skipas";"Huurmat.";"Skiles";"Catering";"Vervoer";"Verz.";"Korting";"Overig";"Inkoop tot.";"Marge";"Marge %";"Betaald"
"B12105427";02-03-2013;1;2;490,00;2;510,00;416,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;416,50;93,50;18,33;0,00
"B12105428";23-02-2013;1;14;4877,00;13;8867,44;3170,05;0,00;2619,84;703,31;1137,60;0,00;0,00;32,62;0,00;0,00;7663,42;1204,02;13,58;0,00
"C12105429";09-02-2013;1;8;2847,00;8;4430,61;2348,78;0,00;1413,12;0,00;0,00;0,00;0,00;36,41;0,00;0,00;3798,31;632,30;14,27;587,20
"C12105430";02-03-2013;1;8;1540,00;4;1914,00;1560,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1560,00;354,00;18,50;0,00
"C12105431";12-01-2013;1;16;2895,00;12;6342,50;2287,05;0,00;2643,00;288,38;0,00;0,00;0,00;0,00;0,00;0,00;5218,43;1124,07;17,72;0,00
"C12105432";26-01-2013;1;9;1749,00;8;2880,00;1174,45;0,00;1183,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2357,45;522,55;18,14;0,00
"C12105433";23-02-2013;1;14;3640,00;11;4395,00;3586,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3586,00;809,00;18,41;0,00
"C12105434";02-02-2013;1;3;420,00;2;550,00;443,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;443,00;107,00;19,45;0,00
"C12105435";26-01-2013;1;6;755,00;6;850,00;755,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-60,40;0,00;694,60;155,40;18,28;0,00
"T12105436";16-03-2013;1;10;2181,00;10;2025,60;1417,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1417,65;607,95;30,01;0,00
"T12105437";16-02-2013;1;12;4800,00;12;4320,00;2750,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2750,00;1570,00;36,34;0,00
"C12105439";09-02-2013;1;22;6600,00;19;11929,36;5610,00;0,00;4282,60;0,00;0,00;0,00;0,00;476,32;0,00;0,00;10368,92;1560,44;13,08;0,00
"B12105440";26-01-2013;1;4;1078,00;2;1550,08;776,16;0,00;413,00;0,00;0,00;0,00;0,00;64,53;0,00;0,00;1253,69;296,39;19,12;0,00
"C12105441";26-01-2013;1;20;2550,00;15;5798,42;1986,45;0,00;2940,00;0,00;0,00;0,00;0,00;51,42;0,00;0,00;4977,87;820,55;14,15;0,00
"C12105442";16-03-2013;1;10;1890,00;7;1815,00;1472,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1472,31;342,69;18,88;0,00
"E12105443";23-02-2013;1;12;4800,00;12;3315,00;2750,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2750,00;565,00;17,04;0,00
"C12105444";16-02-2013;1;8;2591,00;7;4360,00;2072,80;0,00;1252,60;120,32;0,00;0,00;0,00;0,00;0,00;0,00;3445,72;914,28;20,97;0,00
"C12105445";22-12-2012;1;12;1949,00;9;4980,00;1247,36;0,00;1677,80;519,00;0,00;0,00;675,00;0,00;0,00;0,00;4119,16;860,84;17,29;0,00
